title,listed_in,Streaming Platform,Language,Release Year,director,cast,description
Paatal Lok,Crime Thriller,Amazon Prime Video,Hindi,2020,"Avinash Arun, Neeraj Pandey","Jaideep Ahlawat, Neeraj Kabi",A Delhi cop stumbles upon a dark network of crime during an investigation.
Scam 1995: The Harshad Mehta Story,Crime Drama,SonyLIV,Hindi,2022,Hansal Mehta,"Kay Kay Menon, Shreya Dhanwanthary","The follow-up to ""Scam 1992,"" focusing on the stock market scam by Ketan Parekh."
Aarya,Crime Drama,Disney+ Hotstar,Hindi,2020,Ram Madhvani,"Sushmita Sen, Chandrachur Singh, Namit Das",A housewife becomes entangled in the world of crime to protect her family.
Bandish Bandit,Crime Drama,Amazon Prime Video,Hindi,2021,Anand Tiwari,"Ritwik Bhowmik, Shweta Tripathi, Naseeruddin Shah",The story of the notorious Indian highway robbers Veerappan and his gang.
The Gone Game,Thriller Drama,Voot Select,Hindi,2020,Nikhil Nambiar,"Arjun Mathur, Shriya Pilgaonkar, Abhimanyu Singh","A family man disappears, leaving a trail of secrets and a web of lies."
Pushpavalli,Dark Comedy,Netflix,Hindi,2017,Tarun Manu,"Sanya Malhotra, Gaurav Pandey, Sheeba Chaddha",A quirky heist comedy about a girl who robs banks to fund her indie music dreams.
Yeh Ballet,Drama,Netflix,Hindi,2020,Sooni Taraporevala,"Achintya Anand, Manish Chauhan, Julian Sands",Two young boys from Mumbai's slums dream of becoming professional ballet dancers.
Selection Day,Sports Drama,Netflix,Hindi,2019,Ujjwal Waikul,"Mohammad Samad, Yash Dholye, Rajesh Tailang",Two brothers from a humble background chase their dream of playing cricket for India.
Pataal Lok 2,Crime Thriller,Amazon Prime Video,Hindi,(To be announced),"Avinash Arun, Neeraj Pandey","Jaideep Ahlawat (expected), Neeraj Kabi (expected)","The second season of the popular crime thriller, following Inspector Haathiram Chaudhary on a new case."
Mismatched,Romantic Comedy,Netflix,Hindi,2020,Akashdeep Arora,"Prajakta Koli, Rohit Saraf, Vidya Balan (cameo)",Two classmates with contrasting personalities find themselves drawn to each other in a college project.
The Raiker Case,Crime Mystery,Voot Select,Hindi,2020,Harshavardhan Kulkarni,"Tara Alisha Berry, Vikram Chatterjee, Ashwini Kalsekar","A lawyer investigates the suspicious death of her childhood friend, uncovering a web of dark secrets."
Rangbaaz,Crime Drama,ZEE5,Hindi,2022,Rohan Sippy,"Saqib Saleem, Vineet Kumar Singh, Aahana Kumra","Based on the life of real-life gangster Shankarlal Khanna, aka Shanak."
Gullak,Coming-of-Age,SonyLIV,Hindi,2019,Shreyansh Pandey,"Geetanjali Kulkarni, Jameel Khan, Vaibhav Raj Gupta",A nostalgic look at the lives of four childhood friends growing up in a small town.
Bhaag Beanie Bhaag,Comedy Drama,Netflix,Hindi,2020,Debbie Rao,"Swara Bhaskar, Meenakshi Jha,  Dolly Singh","A timid housewife decides to embark on a solo trip to Europe, challenging societal expectations."
Sacred Games (Season 2),Crime Thriller,Netflix,Hindi,2019,"Anurag Kashyap, Neeraj Ghaywan","Saif Ali Khan, Nawazuddin Siddiqui,  Vikram Massey",The continuation of the gripping story exploring the Mumbai underworld.
The Family Man (Season 2),Action Comedy,Amazon Prime Video,Hindi,2021,"Raj Nidimoru, Krishna D.K.","Manoj Bajpayee, Samantha Ruth Prabhu, Sharib Hashmi",The second season delves deeper into the challenges faced by the undercover special agent.
Criminal Justice (Season 2),Crime Drama,Disney+ Hotstar,Hindi,2020,Rohan Sippy,"Pankaj Tripathi, Kirti Kulhari, Mita Vashisht",A follow-up season focusing on a new legal case and the complexities of the justice system.
Asur: Welcome to Your Dark Side,Crime Mystery,Voot Select,Hindi,2020,Oni Sen,"Arshad Warsi, Barun Sobti, Anupriya Goenka",A forensic expert and a cop collaborate to track down a serial killer with a unique modus operandi.
Little Things (Seasons 1-4),Romantic Comedy,Netflix,Hindi,2016,"Anurag Basu, Preeti Agarwal, Prasad Khatkondke","Mithila Palkar, Dhruv Sehgal",A heartwarming series chronicling the everyday life and relationship of a young couple.
She,Crime Drama,Netflix,Hindi,2020,Imtiaz Ali,"Aditi Pohankar, Aaditi Vasudev, Vishwas Kini",A timid constable takes on a daring undercover operation to infiltrate a notorious Mumbai drug gang.
Paatal Lok (Season 2),Crime Thriller,Amazon Prime Video,Hindi,(To be announced),"Avinash Arun, Neeraj Pandey","Jaideep Ahlawat (expected), Neeraj Kabi (expected)",The highly anticipated second season following Inspector Haathiram Chaudhary's new investigation.
